Survey year,Survey ID,Survey name official,Survey name,Survey abbriviation,Cruise ID,Cruise code,Stratum ID,Station ID,Haul ID,Haul number,Vessel ID,Vessel name,Date and time,Start latitude (decimal degrees),Start longitude (decimal degrees),End latitude (decimal degrees),End longitude (decimal degrees),Depth (m),Distance fished (km),Tow duration (decimal hr),Area swept (km),Net height (m),Net width (m),Haul performance code,Bottom temperature (degrees Celsius),Surface temperature (degrees Celsius),Taxon code,Taxon common name,Taxon scientific name,Taxon weight (kg),Taxon count,Weight CPUE (kg/km2),Number CPUE (no/km2),Taxon confidence rating,Lowest taxonomic rank,Integrated taxonomic information system (ITIS) serial number,World register of marine species (WoRMS) taxonomic serial number
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,43,Q-26,-23764,180,162,ALASKA KNIGHT,21-JUL-2024 07:19AM,60.34156,-174.07859,60.3149,-174.07486,91,2.969,.535,.048849,1.793,16.453,0,1.3,6.9,68580,snow crab,Chionoecetes opilio,202.984,4690,4155.339489,96010.238253,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,43,P-23,-23706,155,162,ALASKA KNIGHT,14-JUL-2024 04:07PM,59.96483,-171.92727,59.99008,-171.93297,67,2.825,.511,.047234,2.319,16.72,0,-.7,5.4,68580,snow crab,Chionoecetes opilio,43.419,1294,919.231909,27395.520176,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,41,R-23,-23717,152,134,NORTHWEST EXPLORER,16-JUL-2024 07:36AM,60.6589,-172.06522,60.66772,-172.11604,62,2.954,.522,.046118,1.813,15.612,0,-1.3,6.2,68580,snow crab,Chionoecetes opilio,66.427,1744,1440.375102,37816.16176,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,41,S-26,-23721,156,134,NORTHWEST EXPLORER,17-JUL-2024 12:59PM,60.98409,-174.1906,61.01006,-174.18749,83,2.89,.514,.047425,2.101,16.41,0,.7,6.7,68580,snow crab,Chionoecetes opilio,26.51,679,558.989054,14317.373363,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,41,R-27,-23758,178,162,ALASKA KNIGHT,20-JUL-2024 11:25AM,60.66888,-174.84858,60.64969,-174.81379,98,2.86,.522,.046478,1.577,16.251,0,1.4,6.9,68580,snow crab,Chionoecetes opilio,9.582,174,206.162676,3743.717977,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,61,R-32,-23911,207,134,NORTHWEST EXPLORER,05-AUG-2024 06:33PM,60.66179,-178.1456,60.63815,-178.1443,159,2.628,.488,.044429,1.699,16.906,0,2.5,8.8,68580,snow crab,Chionoecetes opilio,5.269,11,118.593797,247.586214,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,50,E-18,-23894,210,162,ALASKA KNIGHT,30-JUL-2024 12:37PM,56.31112,-168.24463,56.29933,-168.23748,155,1.383,.255,.022432,1.875,16.22,0,4,8.7,68580,snow crab,Chionoecetes opilio,.546,1,24.339946,44.578656,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,61,I-24,-23884,206,162,ALASKA KNIGHT,28-JUL-2024 01:35PM,57.66523,-172.19756,57.66836,-172.14714,108,3.036,.529,.049426,1.85,16.28,0,2.5,8.3,68580,snow crab,Chionoecetes opilio,3.674,9,74.333227,182.090103,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,31,E-07,-23299,56,134,NORTHWEST EXPLORER,14-JUN-2024 09:56AM,56.35373,-164.00652,56.32823,-164.01499,86,2.882,.521,.045484,2.002,15.782,0,3,5.6,68580,snow crab,Chionoecetes opilio,.641,2,14.092953,43.971773,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,31,D-04,-23347,72,162,ALASKA KNIGHT,19-JUN-2024 11:04AM,55.98527,-165.77752,56.01185,-165.78652,107,3.006,.538,.048433,1.726,16.112,0,3.9,8.3,68580,snow crab,Chionoecetes opilio,.42,1,8.671832,20.647219,High,species,98428,107315
