Survey year,Survey ID,Survey name official,Survey name,Survey abbreviation,Cruise ID,Cruise code,Stratum ID,Station ID,Haul ID,Haul number,Vessel ID,Vessel name,Date and time,Start latitude (decimal degrees),Start longitude (decimal degrees),End latitude (decimal degrees),End longitude (decimal degrees),Depth (m),Distance fished (km),Tow duration (decimal hr),Area swept (km),Net height (m),Net width (m),Haul performance code,Bottom temperature (degrees Celsius),Surface temperature (degrees Celsius)
1986,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,156,198602,31,I-13,10878,8,57,MORNING STAR,04-JUN-1986 01:00PM,57.6615,-160.26767,57.63667,-160.2655,57,2.741,.5,.045254,2.37,16.51,0,1.9,2.6
1986,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,156,198602,31,H-13,10879,9,57,MORNING STAR,04-JUN-1986 04:00PM,57.33767,-160.294,57.31617,-160.27167,62,2.685,.5,.044678,,16.64,0,2.1,3.6
1986,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,156,198602,31,G-13,10880,10,57,MORNING STAR,04-JUN-1986 06:00PM,57.01367,-160.33267,56.9885,-160.33067,64,2.759,.5,.045888,,16.632,0,,3.6
1986,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,156,198602,31,F-13,10881,11,57,MORNING STAR,05-JUN-1986 06:00AM,56.66083,-160.3735,56.64517,-160.40667,60,2.593,.5,.043744,2.31,16.87,0,2.4,3.8
1986,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,156,198602,10,E-11,10888,18,57,MORNING STAR,07-JUN-1986 06:00AM,56.33917,-161.582,56.3395,-161.62767,66,2.815,.5,.045913,,16.31,0,2.2,3.9
1986,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,156,198602,31,F-11,10889,19,57,MORNING STAR,07-JUN-1986 09:00AM,56.669,-161.57733,56.69233,-161.58,93,2.593,.5,.042966,3.28,16.57,0,1.6,
1986,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,156,198602,31,G-11,10890,20,57,MORNING STAR,07-JUN-1986 12:00PM,56.9865,-161.56833,57.01033,-161.5725,71,2.611,.5,.04376,,16.76,0,1.7,3.1
1986,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,156,198602,31,H-11,10891,21,57,MORNING STAR,07-JUN-1986 03:00PM,57.34183,-161.54733,57.36683,-161.556,57,2.759,.5,.044558,,16.15,0,2.1,4.1
1986,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,156,198602,10,I-11,10892,22,57,MORNING STAR,07-JUN-1986 06:00PM,57.67433,-161.49233,57.699,-161.47983,55,2.759,.5,.044365,,16.08,0,,3.5
1986,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,156,198602,10,J-11,10893,23,57,MORNING STAR,08-JUN-1986 06:00AM,57.993,-161.50067,57.98083,-161.46217,59,2.556,.5,.040743,2.95,15.94,0,1.9,2.9
1986,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,156,198602,10,K-11,10894,24,57,MORNING STAR,08-JUN-1986 09:00AM,58.33833,-161.39567,58.34383,-161.34633,35,2.926,.5,.045792,3,15.65,0,4.6,6.8
1986,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,156,198602,10,L-09,10895,25,57,MORNING STAR,08-JUN-1986 03:00PM,58.65967,-162.70133,58.636,-162.71767,26,2.741,.5,.04328,2.69,15.79,0,2.1,2.9
1986,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,156,198602,10,K-09,10896,26,57,MORNING STAR,08-JUN-1986 05:00PM,58.338,-162.717,58.31283,-162.72283,33,2.741,.5,.042074,3.28,15.35,0,1.9,3.1
1986,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,156,198602,10,J-09,10897,27,57,MORNING STAR,09-JUN-1986 06:00AM,57.99483,-162.76683,57.97033,-162.76683,44,2.722,.5,.043879,2.98,16.12,0,1.4,2.1
1986,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,156,198602,10,I-09,10898,28,57,MORNING STAR,09-JUN-1986 09:00AM,57.6775,-162.756,57.65333,-162.752,46,2.667,.5,.042299,3.13,15.86,0,1.3,1.8
1986,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,156,198602,10,H-09,10899,29,57,MORNING STAR,09-JUN-1986 12:00PM,57.341,-162.76683,57.3155,-162.76167,51,2.778,.5,.045215,2.92,16.276,0,1.1,2.2
1986,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,156,198602,31,G-09,10900,30,57,MORNING STAR,09-JUN-1986 02:00PM,57.01617,-162.78617,56.991,-162.7805,62,2.778,.5,.046281,3.15,16.66,0,.9,2.8
1986,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,156,198602,31,F-09,10901,31,57,MORNING STAR,09-JUN-1986 05:00PM,56.67517,-162.79667,56.6745,-162.7545,73,2.556,.5,.0422,3.06,16.51,0,1.6,4.6
1986,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,156,198602,31,E-09,10902,32,57,MORNING STAR,10-JUN-1986 06:00AM,56.33683,-162.79667,56.31333,-162.78183,82,2.741,.5,.045802,3.15,16.71,0,1.8,4.3
